gene_set_id	phenotype	definition	gene_symbol	ensembl_gene_id	evidence	effect_direction	effect_beta	p_value	source_id	notes
epi25_dee_damaging_missense_fdr05	Epilepsy	Epi25 DEE damaging_missense; BH FDR <= 5%	SCN1A	ENSG00000144285	FDR<=0.05	.	.	1.4439e-05	epi25_2022	.
epi25_dee_ptv_bonferroni	Epilepsy	Epi25 DEE ptv; Bonferroni	ANKRD11	ENSG00000167522	Bonferroni	.	.	1.1956e-06	epi25_2022	.
epi25_dee_ptv_bonferroni	Epilepsy	Epi25 DEE ptv; Bonferroni	NEXMIF	ENSG00000050030	Bonferroni	.	.	0.0	epi25_2022	.
epi25_dee_ptv_bonferroni	Epilepsy	Epi25 DEE ptv; Bonferroni	SCN1A	ENSG00000144285	Bonferroni	.	.	6.3195e-09	epi25_2022	.
epi25_dee_ptv_bonferroni	Epilepsy	Epi25 DEE ptv; Bonferroni	STX1B	ENSG00000099365	Bonferroni	.	.	2.2855e-07	epi25_2022	.
epi25_dee_ptv_bonferroni	Epilepsy	Epi25 DEE ptv; Bonferroni	SYNGAP1	ENSG00000197283	Bonferroni	.	.	5.9462e-08	epi25_2022	.
epi25_dee_ptv_bonferroni	Epilepsy	Epi25 DEE ptv; Bonferroni	WDR45	ENSG00000196998	Bonferroni	.	.	2.3762e-07	epi25_2022	.
epi25_dee_ptv_fdr05	Epilepsy	Epi25 DEE ptv; BH FDR <= 5%	ANKRD11	ENSG00000167522	FDR<=0.05	.	.	1.1956e-06	epi25_2022	.
epi25_dee_ptv_fdr05	Epilepsy	Epi25 DEE ptv; BH FDR <= 5%	CARS2	ENSG00000134905	FDR<=0.05	.	.	4.6861e-06	epi25_2022	.
epi25_dee_ptv_fdr05	Epilepsy	Epi25 DEE ptv; BH FDR <= 5%	IQSEC2	ENSG00000124313	FDR<=0.05	.	.	2.1399e-05	epi25_2022	.
epi25_dee_ptv_fdr05	Epilepsy	Epi25 DEE ptv; BH FDR <= 5%	MECP2	ENSG00000169057	FDR<=0.05	.	.	9.4961e-06	epi25_2022	.
epi25_dee_ptv_fdr05	Epilepsy	Epi25 DEE ptv; BH FDR <= 5%	NEXMIF	ENSG00000050030	FDR<=0.05	.	.	0.0	epi25_2022	.
epi25_dee_ptv_fdr05	Epilepsy	Epi25 DEE ptv; BH FDR <= 5%	PCDH19	ENSG00000165194	FDR<=0.05	.	.	1.3936e-05	epi25_2022	.
epi25_dee_ptv_fdr05	Epilepsy	Epi25 DEE ptv; BH FDR <= 5%	SCN1A	ENSG00000144285	FDR<=0.05	.	.	6.3195e-09	epi25_2022	.
epi25_dee_ptv_fdr05	Epilepsy	Epi25 DEE ptv; BH FDR <= 5%	STX1B	ENSG00000099365	FDR<=0.05	.	.	2.2855e-07	epi25_2022	.
epi25_dee_ptv_fdr05	Epilepsy	Epi25 DEE ptv; BH FDR <= 5%	STXBP1	ENSG00000136854	FDR<=0.05	.	.	2.2243e-05	epi25_2022	.
epi25_dee_ptv_fdr05	Epilepsy	Epi25 DEE ptv; BH FDR <= 5%	SYNGAP1	ENSG00000197283	FDR<=0.05	.	.	5.9462e-08	epi25_2022	.
epi25_dee_ptv_fdr05	Epilepsy	Epi25 DEE ptv; BH FDR <= 5%	WDR45	ENSG00000196998	FDR<=0.05	.	.	2.3762e-07	epi25_2022	.
epi25_epi_damaging_missense_bonferroni	Epilepsy	Epi25 EPI damaging_missense; Bonferroni	GABRB3	ENSG00000166206	Bonferroni	.	.	6.8436e-06	epi25_2022	.
epi25_epi_damaging_missense_fdr05	Epilepsy	Epi25 EPI damaging_missense; BH FDR <= 5%	GABRB3	ENSG00000166206	FDR<=0.05	.	.	6.8436e-06	epi25_2022	.
epi25_epi_ptv_bonferroni	Epilepsy	Epi25 EPI ptv; Bonferroni	DEPDC5	ENSG00000100150	Bonferroni	.	.	3.4417e-15	epi25_2022	.
epi25_epi_ptv_bonferroni	Epilepsy	Epi25 EPI ptv; Bonferroni	NEXMIF	ENSG00000050030	Bonferroni	.	.	6.2791e-09	epi25_2022	.
epi25_epi_ptv_bonferroni	Epilepsy	Epi25 EPI ptv; Bonferroni	SCN1A	ENSG00000144285	Bonferroni	.	.	3.4869e-08	epi25_2022	.
epi25_epi_ptv_fdr05	Epilepsy	Epi25 EPI ptv; BH FDR <= 5%	DEPDC5	ENSG00000100150	FDR<=0.05	.	.	3.4417e-15	epi25_2022	.
epi25_epi_ptv_fdr05	Epilepsy	Epi25 EPI ptv; BH FDR <= 5%	NEXMIF	ENSG00000050030	FDR<=0.05	.	.	6.2791e-09	epi25_2022	.
epi25_epi_ptv_fdr05	Epilepsy	Epi25 EPI ptv; BH FDR <= 5%	NPRL3	ENSG00000103148	FDR<=0.05	.	.	9.2939e-06	epi25_2022	.
epi25_epi_ptv_fdr05	Epilepsy	Epi25 EPI ptv; BH FDR <= 5%	SCN1A	ENSG00000144285	FDR<=0.05	.	.	3.4869e-08	epi25_2022	.
epi25_gge_damaging_missense_bonferroni	Epilepsy	Epi25 GGE damaging_missense; Bonferroni	SLC6A1	ENSG00000157103	Bonferroni	.	.	3.0095e-06	epi25_2022	.
epi25_gge_damaging_missense_fdr05	Epilepsy	Epi25 GGE damaging_missense; BH FDR <= 5%	SLC6A1	ENSG00000157103	FDR<=0.05	.	.	3.0095e-06	epi25_2022	.
epi25_gge_ptv_fdr05	Epilepsy	Epi25 GGE ptv; BH FDR <= 5%	MRPL18	ENSG00000112110	FDR<=0.05	.	.	6.3619e-06	epi25_2022	.
epi25_gge_ptv_fdr05	Epilepsy	Epi25 GGE ptv; BH FDR <= 5%	RYR2	ENSG00000198626	FDR<=0.05	.	.	8.6024e-06	epi25_2022	.
epi25_gge_ptv_fdr05	Epilepsy	Epi25 GGE ptv; BH FDR <= 5%	SETD1B	ENSG00000139718	FDR<=0.05	.	.	6.1394e-06	epi25_2022	.
epi25_nafe_ptv_bonferroni	Epilepsy	Epi25 NAFE ptv; Bonferroni	DEPDC5	ENSG00000100150	Bonferroni	.	.	0.0	epi25_2022	.
epi25_nafe_ptv_bonferroni	Epilepsy	Epi25 NAFE ptv; Bonferroni	NPRL3	ENSG00000103148	Bonferroni	.	.	1.3519e-06	epi25_2022	.
epi25_nafe_ptv_fdr05	Epilepsy	Epi25 NAFE ptv; BH FDR <= 5%	DEPDC5	ENSG00000100150	FDR<=0.05	.	.	0.0	epi25_2022	.
epi25_nafe_ptv_fdr05	Epilepsy	Epi25 NAFE ptv; BH FDR <= 5%	NPRL3	ENSG00000103148	FDR<=0.05	.	.	1.3519e-06	epi25_2022	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ABCB1	ENSG00000085563	.	.	.	1.13e-13	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	AC004922.1	ENSG00000284292	.	.	.	2.78e-10	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	AC073896.1	ENSG00000144785	.	.	.	1.37e-21	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	AC127029.3	ENSG00000285947	.	.	.	9.38e-32	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ACAN	ENSG00000157766	.	.	.	3.61e-72	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ADAMTS10	ENSG00000142303	.	.	.	5e-74	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ADAMTS17	ENSG00000140470	.	.	.	8.45e-129	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ADAMTS3	ENSG00000156140	.	.	.	2.58e-41	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ADAMTS6	ENSG00000049192	.	.	.	2.85e-44	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ADAMTSL2	ENSG00000197859	.	.	.	2.4e-35	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ADAMTSL4	ENSG00000143382	.	.	.	3.42e-13	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ADCY6	ENSG00000174233	.	.	.	6.93e-20	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	AEBP1	ENSG00000106624	.	.	.	2.23e-16	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	AMD1	ENSG00000123505	.	.	.	1.84e-11	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ANAPC1	ENSG00000153107	.	.	.	3.88e-10	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ANGPTL2	ENSG00000136859	.	.	.	4.5e-36	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ANKRD11	ENSG00000167522	.	.	.	3.21e-17	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ANTXR1	ENSG00000169604	.	.	.	1.32e-11	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	APOB	ENSG00000084674	.	.	.	3.7e-11	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ARPC1B	ENSG00000130429	.	.	.	3.33e-11	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ASH1L	ENSG00000116539	.	.	.	7.57e-11	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ASPN	ENSG00000106819	.	.	.	1.12e-10	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	B3GNT8	ENSG00000177191	.	.	.	5.54e-12	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	B4GALNT3	ENSG00000139044	.	.	.	9.9e-42	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	BMP6	ENSG00000153162	.	.	.	4.09e-20	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	C2CD4A	ENSG00000198535	.	.	.	1.5e-11	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CCAR1	ENSG00000060339	.	.	.	6.23e-11	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CCDC3	ENSG00000151468	.	.	.	3.74e-16	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CDC23	ENSG00000094880	.	.	.	3.17e-10	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CDK6	ENSG00000105810	.	.	.	2.39e-23	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CHAD	ENSG00000136457	.	.	.	2.63e-12	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CHD8	ENSG00000100888	.	.	.	4.72e-17	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CLEC11A	ENSG00000105472	.	.	.	1.48e-25	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CLEC3A	ENSG00000166509	.	.	.	2.04e-42	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CNNM3	ENSG00000168763	.	.	.	2.06e-29	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CNPY2	ENSG00000257727	.	.	.	5.57e-23	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	COL16A1	ENSG00000084636	.	.	.	7.07e-10	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	COL1A1	ENSG00000108821	.	.	.	3.29e-15	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	COL1A2	ENSG00000164692	.	.	.	1.25e-15	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	COL27A1	ENSG00000196739	.	.	.	3.12e-40	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	COL8A1	ENSG00000144810	.	.	.	1.65e-10	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	COL8A2	ENSG00000171812	.	.	.	4.79e-32	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	COLGALT2	ENSG00000198756	.	.	.	6.03e-14	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CPD	ENSG00000108582	.	.	.	5.23e-12	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CPT1A	ENSG00000110090	.	.	.	1.94e-14	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CPZ	ENSG00000109625	.	.	.	1.77e-15	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CRISPLD1	ENSG00000121005	.	.	.	1.71e-31	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CRISPLD2	ENSG00000103196	.	.	.	3.27e-41	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CSAD	ENSG00000139631	.	.	.	2.65e-12	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CTU2	ENSG00000174177	.	.	.	1.16e-22	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	CYP26B1	ENSG00000003137	.	.	.	8.93e-11	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	DAAM2	ENSG00000146122	.	.	.	1.43e-14	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	DAP	ENSG00000112977	.	.	.	8.35e-13	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	DDR2	ENSG00000162733	.	.	.	1.56e-43	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	DISP1	ENSG00000154309	.	.	.	3.66e-19	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	DLK1	ENSG00000185559	.	.	.	4.14e-10	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	DPP9	ENSG00000142002	.	.	.	8.86e-13	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	DTL	ENSG00000143476	.	.	.	1.79e-47	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	DUSP16	ENSG00000111266	.	.	.	3.7e-11	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	E4F1	ENSG00000167967	.	.	.	6.73e-13	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ERF	ENSG00000105722	.	.	.	1.65e-21	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	ESR1	ENSG00000091831	.	.	.	1.31e-17	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	EXT1	ENSG00000182197	.	.	.	5.23e-17	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	EXTL3	ENSG00000012232	.	.	.	1.53e-11	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FAM111A	ENSG00000166801	.	.	.	1.52e-13	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FASN	ENSG00000169710	.	.	.	5.74e-13	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FBLN5	ENSG00000140092	.	.	.	1.32e-14	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FBN1	ENSG00000166147	.	.	.	1.01e-53	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FBN2	ENSG00000138829	.	.	.	1.72e-12	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FBXL12	ENSG00000127452	.	.	.	3.33e-10	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FBXO17	ENSG00000269190	.	.	.	1.61e-12	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FBXW8	ENSG00000174989	.	.	.	3.27e-12	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FER	ENSG00000151422	.	.	.	5.77e-16	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FGD1	ENSG00000102302	.	.	.	7.05e-11	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FGF2	ENSG00000138685	.	.	.	3.34e-22	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FGFR3	ENSG00000068078	.	.	.	1.68e-61	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FIBIN	ENSG00000176971	.	.	.	8.37e-24	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FLNB	ENSG00000136068	.	.	.	1.89e-45	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FRYL	ENSG00000075539	.	.	.	2.9e-16	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	FUT10	ENSG00000172728	.	.	.	1.48e-12	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	GCGR	ENSG00000215644	.	.	.	3.8e-10	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	GH1	ENSG00000259384	.	.	.	1.46e-35	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	GHR	ENSG00000112964	.	.	.	5.67e-11	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	GHRH	ENSG00000118702	.	.	.	2.08e-24	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	GHSR	ENSG00000121853	.	.	.	2.25e-17	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	GLI3	ENSG00000106571	.	.	.	2.54e-12	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	GLS	ENSG00000115419	.	.	.	2.3e-15	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	GNAS	ENSG00000087460	.	.	.	8.3e-12	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	GRAMD2A	ENSG00000175318	.	.	.	1.46e-13	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	GYG1	ENSG00000163754	.	.	.	2.84e-16	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	HAPLN3	ENSG00000140511	.	.	.	1.31e-32	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	HDAC6	ENSG00000094631	.	.	.	8.1e-12	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	HECTD1	ENSG00000092148	.	.	.	5.22e-15	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	HERC1	ENSG00000103657	.	.	.	4.52e-11	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	HHIPL1	ENSG00000182218	.	.	.	2.27e-18	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	HLTF	ENSG00000071794	.	.	.	4.99e-14	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	HMCN1	ENSG00000143341	.	.	.	3.75e-19	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	HMG20B	ENSG00000064961	.	.	.	3.3e-19	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	HMGA2	ENSG00000149948	.	.	.	2.54e-26	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	HSD11B2	ENSG00000176387	.	.	.	5.01e-15	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	HTRA1	ENSG00000166033	.	.	.	2.38e-32	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	IGF1	ENSG00000017427	.	.	.	3.27e-10	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	IGF1R	ENSG00000140443	.	.	.	3.94e-50	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	IGF2BP2	ENSG00000073792	.	.	.	1.16e-35	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	IGFALS	ENSG00000099769	.	.	.	1.85e-17	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	IHH	ENSG00000163501	.	.	.	1.26e-104	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	IQCC	ENSG00000160051	.	.	.	7.49e-13	kosmicki_height_2026	.
height_207_gene_p	Height	207 discovery-significant gene-P genes	IRS1	ENSG00000169047	.	.	.	3.64e-35	kosmicki_height_2026	.
